Question,Category,Sub Category
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
Could you please connect me with my mentor for guidance and support?,learning-support,mentor-support
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,product-support,lecture
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
I can't access recorded lectures or they're not playing. What should I do?,product-support,lecture
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
Could you please connect me with my mentor for guidance and support?,learning-support,mentor-support
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,product-support,lecture
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
I can't access recorded lectures or they're not playing. What should I do?,product-support,lecture
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
Question,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-structure
Could you please share the program structure & share the topics that will be covered?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
How can I update the details in my student kit form?,student-kit,student-kit
I filled something incorrectly—can I edit my information?,student-kit,student-kit
I entered the wrong address—what should I do now?,student-kit,student-kit
My name is incorrect on the form. Can it be corrected?,student-kit,student-kit
I have already submitted the form—how do I make changes?,student-kit,student-kit
Will my kit still be delivered if I made a mistake in the form?,student-kit,student-kit
Could you please connect me with my mentor for guidance and support?,learning-support,mentor-support
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,product-support,lecture
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
When is my next evaluation?,evaluation,schedule-and-weightage
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
what is criteria to clear the program?,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community for my batch?,product-support,lms-learning-management-system
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,product-support,product-support
My assignments show as overdue but I can't submit them. What should I do?,product-support,product-support
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
How do I setup proctoring for evaluations?,evaluation,proctoring
How can I refer someone to join a program?,referrals,referrals
Can we visit the campus as a part of the program?,campus-connect,campus-connect
what is criteria to clear the program?,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community  for my batch?,product-support,lms-learning-management-system
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
what is criteria to clear the program?,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,zoom/nolan-authentication
Where can I find lecture PPTs and notes?,product-support,product-support
My assignments show as overdue but I can't submit them. What should I do?,product-support,product-support
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
How do I setup proctoring for evaluations?,evaluation,proctoring
How can I refer someone to join a program?,referrals,referrals
Can we visit the campus as a part of the program?,campus-connect,campus-connect
what is criteria to clear the program?,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,time-table
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,learning-support,notes
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
I can't access recorded lectures or they're not playing. What should I do?,product-support,lms-learning-management-system
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
what is criteria to clear the program?,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,time-table
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,learning-support,notes
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
I can't access recorded lectures or they're not playing. What should I do?,product-support,lms-learning-management-system
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
How do I setup proctoring for evaluations?,evaluation,proctoring
Where can i see my results of my last evaluation?,evaluation,result
How can I refer someone to join a program?,referrals,referrals
When will the referral amount be transferred?,referrals,referrals
How can i update the bank account details for a referral?,referrals,referrals
Can we visit the campus as a part of the program?,campus-connect,campus-connect
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
How do I setup proctoring for evaluations?,evaluation,proctoring
Where can i see my results of my last evaluation?,evaluation,result
